P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
CTD-2140G10.4	0	1	0	0	0	1
CTD-2140G10.1	2	2	4	1	2	4
RP11-34N19.1	0	0	0	1	0	2
FANCF	116	157	116	106	106	92
GAS2	3	3	3	11	9	8
SVIP	177	278	249	232	198	241
RP11-17A1.3	1	3	0	4	3	2
CCDC179	2	1	0	0	1	2
RP11-266A24.1	3	1	0	2	3	2
RP11-945A11.1	1	1	0	2	4	4
RP11-945A11.2	0	0	1	1	1	1
RP11-2F20.1	0	1	2	2	0	3
LUZP2	9	15	12	10	13	11
RP11-405K6.1	1	1	4	1	3	1
RP11-20J1.1	1	1	0	0	0	2
CTD-2507G9.1	0	1	0	0	1	2
ANO3	16	17	4	7	17	26
RP11-430L3.1	0	3	0	0	1	3
MUC15	4	5	9	6	5	6
SLC5A12	10	8	10	8	9	14
FIBIN	1	2	1	2	5	1
BBOX1	3	6	3	2	4	5
RP11-1L12.3	1	2	0	2	1	3
CCDC34	439	685	449	482	498	350
LGR4	2593	3432	2561	3338	3614	2614
RP11-159H22.2	7	8	7	12	8	6
LIN7C	337	345	328	512	452	448
BDNF-AS	8	11	15	14	9	17
LINC00678	2	1	2	3	2	3
BDNF	136	206	173	135	160	140
RP11-406D1.2	2	1	3	2	5	3
KIF18A	673	789	732	640	599	596
METTL15	316	338	358	315	279	316
RP11-22P4.1	3	3	4	3	6	4
RP11-22P4.2	4	2	2	1	3	1
RP11-960D24.1	0	2	1	0	1	1
RP11-115J23.1	1	3	2	1	2	2
RP11-466I1.1	0	2	1	1	3	1
RP11-460B17.3	1	0	3	3	1	2
RP11-460B17.2	0	0	1	2	1	4
CTD-3012A18.1	1	2	3	0	1	0
RP5-1027O15.1	2	4	1	2	1	2
CTD-3138F19.1	1	1	0	1	0	2
RP11-215H22.1	2	0	3	4	2	1
KCNA4	0	2	3	2	2	5
RP11-624D11.2	1	1	0	1	0	0
FSHB	1	4	2	2	0	3
ARL14EP	266	311	371	382	343	334
MPPED2	10	5	6	7	6	9
RP4-710M3.2	1	0	1	1	0	1
RP5-1024C24.1	1	2	0	3	1	0
DCDC1	20	23	14	17	33	22
RP1-296L11.1	0	0	1	0	1	2
DNAJC24	197	222	250	319	253	273
IMMP1L	115	173	139	172	180	175
ELP4	267	331	294	301	309	306
Z83001.1	1	3	1	2	2	2
PAX6	29	22	25	20	31	22
RCN1	2575	2407	3133	3058	2456	3076
RP1-17K7.2	0	2	0	1	6	1
RP1-17K7.3	2	2	3	0	1	1
RP1-65P5.5	1	0	0	0	2	1
WT1	128	153	184	178	142	196
WT1-AS	47	62	82	61	54	66
EIF3M	3270	3246	3577	3474	2910	3203
CCDC73	8	7	7	11	12	14
PRRG4	7	6	5	14	10	13
QSER1	1959	2115	2211	2331	2025	2002
DEPDC7	107	101	110	124	122	89
TCP11L1	431	402	401	460	360	368
CSTF3	515	754	654	559	521	511
CSTF3-AS1	15	32	24	24	23	20
HIPK3	1240	1253	1315	2389	1928	2053
KIAA1549L	922	715	1184	1211	836	1312
RP4-541C22.5	7	6	10	9	3	16
C11orf91	9	5	10	8	7	17
CD59	11487	9803	13475	13592	9363	12851
FBXO3	574	625	583	588	580	567
RP11-646J21.5	1	1	0	2	1	1
RP11-646J21.6	1	1	0	3	0	1
RP11-646J21.3	1	1	0	1	2	0
RP11-646J21.4	0	1	2	1	2	1
RP11-646J21.2	1	2	2	2	3	4
LMO2	13	1	11	17	17	12
AC132216.1	2	1	1	1	1	2
CAPRIN1	6759	6385	7091	7738	6550	6759
NAT10	2251	2208	2205	2236	2076	2105
ABTB2	1315	1104	1171	1177	1054	943
CAT	2233	2800	2719	2134	2290	2013
ELF5	3	7	7	7	8	8
RP4-594L9.2	0	4	1	4	2	1
RP11-350D17.2	0	0	1	2	0	1
EHF	11	10	9	5	10	10
APIP	466	510	452	360	358	341
PDHX	1262	1452	1310	1463	1255	1167
AL356215.1	0	1	0	0	0	1
RP4-607I7.1	7	10	12	19	17	13
CD44	17121	13703	16695	17196	12538	15324
RP1-68D18.4	12	9	13	9	18	12
SLC1A2	17	10	11	12	21	16
RP1-68D18.3	1	0	1	1	1	1
RP4-683L5.1	1	0	0	0	0	1
PAMR1	9	6	10	7	7	10
RP5-945I17.2	0	5	1	2	1	3
FJX1	1255	927	1452	1368	836	1210
RP1-276E15.1	0	1	1	2	0	1
TRIM44	1510	1501	1727	1518	1472	1404
RP11-698N11.2	1	2	2	3	3	1
LDLRAD3	1075	1289	1088	1030	977	830
LINC00610	13	17	14	9	14	15
COMMD9	659	603	600	521	488	465
PRR5L	19	27	18	24	21	34
RP11-514F3.4	2	0	1	0	1	1
RP11-219O3.2	1	0	1	0	2	0
TRAF6	297	284	256	231	214	232
RAG1	18	16	16	10	14	11
RAG2	4	3	2	3	4	3
C11orf74	108	139	140	114	120	106
RP11-159D8.1	1	0	3	1	1	0
RP11-63D14.1	0	0	0	0	0	2
RP11-277K23.1	3	1	1	3	1	3
RP11-64I17.1	4	1	0	0	3	4
LRRC4C	4	6	4	4	3	7
RP11-63C8.1	3	1	1	2	1	0
RP11-124G5.3	2	2	0	2	2	4
RP11-375D13.2	4	2	4	2	4	4
RP11-375D13.4	4	5	2	1	0	3
RP11-375D13.3	1	0	2	2	1	0
RP11-148I19.1	3	1	2	3	1	1
CTD-2572N17.1	3	5	0	0	1	6
API5	2342	2520	2492	2470	2146	2178
RP11-484D2.2	8	4	5	5	7	4
TTC17	1233	1228	1405	1328	1125	1412
RP11-484D2.5	1	2	0	0	0	2
HSD17B12	1128	1284	1130	1015	1092	973
RP11-613D13.5	7	10	4	7	8	7
ALKBH3	335	349	395	294	299	309
ALKBH3-AS1	12	6	9	10	6	9
C11orf96	10	6	3	9	19	13
RP11-613D13.8	3	2	1	0	1	2
ACCSL	3	6	1	4	5	6
ACCS	305	371	330	249	338	303
EXT2	2034	2145	2105	2057	1884	1780
ALX4	18	23	14	21	18	17
RP11-58K22.1	1	1	2	1	5	1
CD82	243	102	180	419	250	277
RP11-58K22.5	0	0	0	2	0	0
RP11-58K22.4	1	3	2	2	0	3
RP11-45A12.1	1	3	2	0	2	2
RP11-45A12.2	2	2	1	2	1	0
TSPAN18	116	105	61	118	141	61
TP53I11	1564	2242	871	1981	2342	848
AC068858.1	0	0	1	0	2	1
PRDM11	345	352	368	395	306	373
CTD-2560E9.3	2	1	1	4	2	1
SYT13	4	5	1	4	3	8
CTD-2560E9.5	0	2	1	0	0	2
RP11-430H10.1	2	0	4	1	2	4
RP11-430H10.2	1	2	4	2	8	3
RP11-430H10.4	1	1	0	0	1	1
RP11-430H10.3	2	0	0	1	1	0
RP11-958J22.3	1	0	1	0	2	4
CHST1	2	4	5	5	6	6
CTD-2210P24.1	2	2	1	0	5	1
CTD-2210P24.2	1	1	0	0	1	0
CTD-2210P24.3	0	0	2	2	1	4
CTD-2210P24.4	1	0	1	0	3	3
SLC35C1	478	444	485	587	471	524
CTD-2210P24.6	1	4	1	0	2	1
CRY2	535	440	487	571	455	409
MAPK8IP1	243	233	182	211	271	228
C11orf94	4	2	2	6	3	5
PEX16	566	571	549	545	477	427
GYLTL1B	17	21	15	17	23	23
PHF21A	1288	1403	1276	1036	1100	936
RP11-702F3.1	0	0	0	1	1	0
RP11-702F3.3	1	0	0	2	2	2
RP11-702F3.4	1	1	1	0	3	0
CTD-2589M5.5	11	9	14	12	9	11
CTD-2589M5.4	1	0	0	1	1	2
CREB3L1	56	129	45	78	94	66
DGKZ	2872	2212	2720	2718	2059	2251
MDK	191	253	204	231	260	184
CHRM4	10	20	21	15	21	17
AMBRA1	981	932	991	845	753	748
HARBI1	117	138	126	119	112	118
ATG13	1103	1153	1050	975	878	824
ARHGAP1	1283	1144	1350	1426	1103	1118
ZNF408	429	359	452	430	352	413
F2	2	7	3	5	6	6
CKAP5	7622	8125	7939	8228	7145	7054
LRP4-AS1	4	5	4	6	10	1
LRP4	399	433	474	416	470	454
C11orf49	650	673	586	414	405	325
RP11-390K5.3	3	2	1	2	3	4
ARFGAP2	1276	1207	1323	1459	1266	1142
PACSIN3	1012	1198	1124	1114	1099	989
DDB2	504	490	483	714	579	603
RP11-17G12.2	11	9	9	9	11	7
ACP2	701	721	695	812	676	608
NR1H3	207	231	233	187	183	193
MADD	2204	2167	2343	2130	1810	1868
RP11-17G12.3	1	0	3	5	1	3
MYBPC3	13	7	7	8	16	13
SPI1	2	3	2	5	0	6
RP11-750H9.5	5	1	4	3	1	4
SLC39A13	806	883	764	973	976	765
PSMC3	4872	4012	4940	4061	3135	3171
RAPSN	13	6	8	5	6	11
CELF1	3514	3902	3807	3133	3046	2971
NDUFS3	1340	1269	1285	1287	1119	1037
PTPMT1	84	65	94	72	58	60
KBTBD4	393	375	372	432	356	336
FAM180B	1	2	2	2	4	4
C1QTNF4	1	3	2	1	3	2
MTCH2	2601	2815	2821	2640	2578	2310
AGBL2	47	75	53	61	63	61
FNBP4	1407	1391	1369	1495	1263	1293
NUP160	2652	2839	2361	3039	3113	2433
PTPRJ	3402	3578	3545	3125	3145	2852
AC103828.1	1	0	0	1	1	0
OR4B1	0	1	1	0	2	0
OR4X2	2	1	2	4	0	3
OR4X1	1	2	0	2	0	0
OR4S1	1	0	1	1	0	2
OR4C3	2	0	0	3	1	4
OR4C5	1	0	0	1	2	2
OR4A47	1	1	1	0	2	0
TRIM49B	1	1	3	1	4	3
TRIM64C	2	4	1	5	1	4
FOLH1	3	10	2	7	12	9
OR4C13	0	2	0	0	1	3
OR4C12	2	1	1	1	2	2
RP11-347H15.4	1	1	0	1	1	1
OR4A5	0	2	1	0	1	1
OR4C46	0	0	2	0	1	2
TRIM48	1	2	2	6	3	3
OR4A16	0	1	1	2	2	0
OR4A15	2	2	0	1	0	0
OR4C15	1	0	2	1	2	2
OR4C16	0	0	1	0	1	2
OR4C11	0	1	1	0	0	1
OR4P4	0	0	0	0	0	1
OR4C6	0	0	1	0	0	2
RP11-674C21.9	0	1	1	0	0	4
OR5D13	0	3	0	0	2	1
OR5D14	1	0	0	2	2	1
OR5L1	2	1	1	2	3	1
OR5D18	1	1	0	2	2	1
OR5L2	1	1	1	0	1	1
OR5D16	0	3	1	1	1	0
TRIM51	1	3	6	1	3	5
OR5W2	1	2	0	1	1	0
OR5I1	1	0	0	1	1	0
OR10AG1	0	0	0	2	1	3
OR5F1	1	0	1	0	0	4
OR5AS1	0	0	0	0	1	0
OR8I2	0	0	1	0	1	1
OR8H2	0	0	1	0	0	1
OR8H3	1	3	2	1	0	2
OR8J3	0	2	0	2	2	1
OR8K5	1	0	0	0	1	1
OR5J2	2	1	0	1	0	1
OR5T2	2	1	2	0	5	4
OR5T3	1	0	0	3	0	2
OR5T1	1	0	2	0	2	2
OR8H1	1	0	1	1	1	2
OR8K3	1	0	1	1	2	2
OR8K1	1	0	1	1	0	1
OR8J1	0	0	0	0	0	1
OR8U1	0	0	1	1	1	2
OR5R1	2	0	1	0	0	0
OR5M9	1	1	3	2	2	1
OR5M3	0	1	2	2	1	1
OR5M8	0	0	1	2	0	1
OR5M11	1	1	0	2	4	1
OR5M10	1	1	0	2	0	1
OR5M1	2	0	0	1	2	1
OR5AP2	1	5	2	1	0	1
OR5AR1	0	0	0	0	1	1
OR9G1	1	0	0	0	1	1
OR9G4	1	0	0	0	1	4
AP000479.1	1	4	1	1	6	4
OR5AK2	0	1	1	1	2	1
LRRC55	4	2	3	6	5	7
APLNR	1	5	4	3	3	9
TNKS1BP1	3019	2989	3416	2517	2461	2367
RP11-872D17.4	1	0	1	2	1	1
SSRP1	7165	6827	7101	7146	5767	6153
P2RX3	6	2	3	2	6	5
PRG3	4	1	3	1	2	2
PRG2	1	0	2	1	3	1
SLC43A3	3	3	1	7	7	6
RTN4RL2	18	16	15	43	42	33
SLC43A1	34	42	29	53	70	43
TIMM10	1171	1077	1159	1219	1183	1112
SMTNL1	7	1	1	2	2	3
UBE2L6	92	131	48	140	195	62
SERPING1	4	9	5	5	4	5
YPEL4	5	10	5	7	10	12
CLP1	505	426	491	630	483	507
ZDHHC5	2979	2794	2848	2856	2650	2289
MED19	463	521	491	447	383	399
TMX2	2650	2973	2805	2675	2214	2115
TMX2-CTNND1	1	0	0	3	0	0
C11orf31	689	806	812	758	673	675
RP11-691N7.6	5	8	2	0	7	4
BTBD18	6	6	7	3	8	6
CTNND1	6103	8861	5901	6088	7705	5178
OR9Q1	4	0	0	1	3	1
OR6Q1	0	0	1	1	0	1
RP11-659P15.1	1	6	1	0	4	5
OR9I1	0	0	1	0	1	0
OR9Q2	1	2	0	0	3	2
OR1S2	1	0	0	0	0	2
OR1S1	1	0	1	0	0	1
OR10Q1	0	0	1	0	2	1
OR10W1	0	2	1	3	1	0
OR5B17	0	3	1	0	3	2
OR5B3	0	2	0	1	1	2
OR5B2	2	0	0	2	3	0
OR5B12	0	0	0	1	1	2
RP11-655C2.3	1	0	2	2	3	2
OR5B21	0	0	2	1	2	1
LPXN	42	53	46	49	35	45
ZFP91	2141	2113	2183	1637	1566	1596
ZFP91-CNTF	1	0	0	0	0	0
AP001350.1	0	0	1	0	1	1
CNTF	13	21	27	22	11	14
GLYAT	7	5	3	1	7	3
GLYATL2	7	3	2	2	4	7
GLYATL1	4	4	6	5	5	8
RP11-780O24.2	1	1	0	4	3	0
RP11-142C4.6	2	10	7	5	9	6
FAM111B	590	527	534	765	653	544
AP001258.4	65	64	66	108	99	79
FAM111A	980	1008	969	1208	1102	1007
DTX4	20	15	15	34	34	19
MPEG1	2	2	3	2	8	3
RP11-1036E20.9	2	1	0	0	5	2
OR5AN1	0	0	0	1	1	0
OR5A2	0	0	2	3	0	1
OR5A1	0	1	1	1	0	2
OR4D6	2	0	0	3	2	0
OR4D10	1	1	1	3	2	2
OR4D11	1	0	1	0	1	1
OR4D9	0	0	0	1	3	1
AP000442.4	3	8	11	7	12	4
OSBP	2031	2096	1925	1595	1515	1375
AP000442.1	13	12	11	22	5	10
PATL1	2058	2023	1901	1523	1485	1421
AP000640.2	2	3	3	1	6	1
OR10V1	0	1	0	1	1	1
STX3	856	696	994	900	689	948
AP000640.10	2	3	6	3	3	2
MRPL16	734	848	824	731	712	707
GIF	8	5	0	4	7	7
TCN1	2	4	4	4	2	6
OOSP1	0	1	2	1	0	1
RP11-736I10.1	1	0	0	3	2	1
OOSP2	2	2	3	3	3	4
MS4A3	3	3	4	3	8	1
MS4A2	0	2	3	0	5	4
AP001257.1	3	1	1	0	0	2
MS4A6A	4	7	4	6	15	7
MS4A4E	1	2	0	3	1	2
MS4A4A	2	2	4	2	7	8
MS4A6E	2	4	2	0	1	4
MS4A7	5	2	4	3	4	1
MS4A14	3	5	4	4	3	2
MS4A5	5	5	6	4	6	5
MS4A1	8	5	5	6	12	8
MS4A12	1	1	3	1	4	2
MS4A13	3	0	1	1	4	3
LINC00301	2	4	1	5	4	7
MS4A8	3	3	8	4	9	4
MS4A18	3	2	1	0	4	3
MS4A15	3	3	2	4	4	7
MS4A10	1	3	2	4	0	5
RP11-804A23.1	1	1	0	0	0	2
RP11-804A23.2	6	4	5	2	1	6
RP11-804A23.4	1	0	0	0	0	0
CCDC86	1998	1561	1922	1980	1386	1540
PTGDR2	7	3	2	3	10	5
ZP1	5	3	2	3	4	5
PRPF19	4764	3966	4626	3825	3124	3429
RP11-881M11.2	0	1	1	1	2	2
RP11-881M11.1	0	0	0	1	0	1
TMEM109	2866	2568	2624	3293	2693	2589
RP11-881M11.4	1	2	1	2	3	2
TMEM132A	2125	2080	1875	2662	2351	1989
SLC15A3	21	17	14	31	54	18
CD6	8	10	4	5	11	6
RP11-881M11.8	1	0	1	0	2	1
CD5	4	5	7	2	6	5
VPS37C	586	595	620	596	506	499
PGA3	0	2	0	1	1	2
PGA5	1	0	0	0	1	2
VWCE	10	13	8	14	6	20
DDB1	8543	8993	9027	9017	7596	7561
DAK	1011	1010	975	1116	943	928
CYB561A3	1535	1472	1338	1622	1326	1175
TMEM138	1038	873	934	1037	780	874
TMEM216	150	144	135	62	72	81
CPSF7	2407	2330	2343	2139	1861	1750
RP11-286N22.8	7	6	3	5	5	1
SDHAF2	211	162	171	220	187	182
PPP1R32	13	17	14	9	15	17
RP11-286N22.10	1	2	2	3	4	0
LRRC10B	1	1	1	1	4	4
SYT7	61	109	78	86	167	85
RP11-794G24.1	3	2	1	3	6	4
RP11-855O10.2	6	4	2	1	5	8
RP11-855O10.3	1	1	1	0	2	2
DAGLA	279	238	279	371	302	256
RP11-467L20.10	3	6	3	5	6	6
MYRF	233	390	244	295	375	241
TMEM258	934	1295	1116	1094	1181	1140
FEN1	2635	2375	2520	2901	2207	2214
FADS2	1816	3422	1515	2278	3100	1449
FADS1	2166	3091	1981	2519	2836	1857
FADS3	416	499	417	477	514	426
RAB3IL1	288	231	265	283	223	213
BEST1	16	22	8	10	27	10
FTH1	21037	17768	15314	23638	18693	16178
AP003733.1	5	6	7	9	5	8
RP11-810P12.5	0	2	0	0	0	2
INCENP	3168	2846	3035	2320	2058	2072
SCGB1D1	3	1	2	1	2	2
SCGB2A1	2	1	0	2	0	1
RP11-703H8.9	2	2	1	0	0	1
SCGB1D2	1	0	1	0	1	1
SCGB2A2	0	1	1	2	3	0
SCGB1D4	1	1	3	0	0	2
RP11-703H8.7	0	0	0	0	1	0
ASRGL1	268	299	255	276	291	221
SCGB1A1	1	2	0	1	6	2
CTD-2531D15.4	0	2	2	3	0	2
AHNAK	57208	54485	57591	69562	64434	59299
RP11-864I4.3	12	7	12	15	7	7
RP11-864I4.4	3	4	1	8	4	2
EEF1G	1	1	0	1	1	0
MIR3654	21	27	14	17	17	16
TUT1	300	312	291	266	270	217
MTA2	4604	4305	4335	5160	4693	4247
EML3	1544	1576	1518	1502	1550	1372
RP11-831H9.3	2	6	3	6	8	3
ROM1	20	24	20	25	35	27
B3GAT3	970	1075	995	1142	1052	922
GANAB	15232	15526	14791	7045	7232	6433
INTS5	703	604	701	685	491	541
C11orf48	294	366	311	360	345	291
METTL12	59	50	70	53	61	49
C11orf83	122	98	135	89	86	79
UBXN1	1679	1713	1587	1479	1357	1319
LRRN4CL	5	2	0	8	4	7
HNRNPUL2-BSCL2	0	9	4	4	3	3
BSCL2	57	48	55	59	35	46
GNG3	14	15	17	21	18	16
HNRNPUL2	1002	1251	1097	1053	1076	895
TTC9C	577	608	567	469	381	395
ZBTB3	74	101	86	100	123	90
POLR2G	1349	1537	1372	1565	1522	1278
RP11-727F15.11	1	1	1	0	1	2
TAF6L	535	470	445	590	462	443
TMEM223	235	229	237	301	271	252
RP11-727F15.12	0	3	3	1	1	3
TMEM179B	333	375	300	381	333	284
NXF1	1542	1379	1496	1668	1296	1330
STX5	469	606	503	517	498	450
RP11-727F15.9	5	7	2	1	2	6
WDR74	857	693	889	791	665	724
SLC3A2	7619	6113	8176	8676	6044	8522
CHRM1	5	9	4	12	6	6
AP000438.2	1	2	1	1	0	4
SLC22A6	1	2	5	5	6	3
SLC22A8	7	3	5	7	11	2
SLC22A24	2	4	5	3	3	2
SLC22A10	5	5	6	5	4	6
SLC22A25	8	3	2	5	5	7
SLC22A9	1	3	5	4	6	6
HRASLS5	5	3	3	2	7	3
LGALS12	4	1	0	3	6	3
RARRES3	6	2	6	9	10	6
HRASLS2	0	0	2	3	1	11
PLA2G16	402	511	397	532	608	476
RP11-697H9.3	1	0	0	0	1	1
ATL3	1607	1635	1431	1692	1539	1409
RP11-697H9.2	0	1	1	2	2	1
RTN3	2922	3659	3179	3254	3174	2629
C11orf95	463	510	488	547	590	487
RP11-466C23.4	3	5	3	1	2	2
C11orf84	1282	1080	1188	914	841	847
MARK2	1227	1147	1255	1205	1062	968
RCOR2	229	284	208	235	311	208
NAA40	1442	1528	1287	1510	1357	1102
COX8A	1503	1510	1711	1781	1376	1367
OTUB1	2524	2417	2246	2754	2250	2044
MACROD1	449	454	529	390	429	485
RP11-21A7A.2	1	5	0	3	4	2
RP11-21A7A.4	2	2	1	3	2	3
FLRT1	20	23	28	34	29	18
STIP1	11868	12378	11285	12785	10980	10030
FERMT3	32	33	46	49	36	48
TRPT1	381	462	374	345	363	340
NUDT22	606	690	567	536	499	446
RP11-783K16.14	2	2	0	0	3	1
DNAJC4	289	329	310	302	327	229
VEGFB	899	1062	901	976	957	836
FKBP2	1230	1341	1163	1352	1365	1164
PPP1R14B	2061	2027	2220	1439	1225	1354
RP11-783K16.5	11	10	7	14	9	4
RP11-783K16.13	38	41	40	32	54	31
PLCB3	1484	1678	1530	1398	1382	1193
BAD	279	298	291	310	269	219
GPR137	2127	2226	1784	2215	1992	1575
KCNK4	5	9	13	18	7	18
TEX40	12	17	22	15	9	17
ESRRA	2204	1778	2102	2012	1554	1652
TRMT112	2944	3082	3030	3391	2915	2998
PRDX5	5444	6011	5636	5808	5696	5627
AP003774.1	1	2	1	3	4	4
CCDC88B	188	332	217	240	390	277
RPS6KA4	3209	2290	3088	2630	1775	2364
AP003774.6	1	1	0	0	0	0
AP003774.5	1	1	2	1	5	1
AP003774.4	5	0	0	4	2	4
AP005273.1	1	0	1	1	3	2
SLC22A11	7	4	4	6	11	11
SLC22A12	5	1	3	4	3	7
NRXN2	13	15	11	12	33	25
AP001092.4	2	2	3	1	2	1
RASGRP2	39	62	36	30	82	41
PYGM	21	20	14	22	16	31
SF1	5547	6254	5772	6407	6379	5473
AP001462.6	6	9	9	11	12	6
RP11-869B15.1	16	12	8	13	9	10
MAP4K2	1093	1315	1059	995	1105	777
MEN1	2450	2393	2549	2734	2260	2318
CDC42BPG	200	249	242	272	292	238
EHD1	6802	4550	6291	7923	4869	6198
RP11-665N17.4	2	0	0	3	1	1
MIR194-2	3	2	2	0	2	5
ATG2A	1373	1394	1338	1150	1074	1023
PPP2R5B	586	657	619	580	598	590
GPHA2	3	2	0	2	3	1
C11orf85	4	7	5	8	3	8
BATF2	14	35	23	33	51	29
ARL2	885	784	931	1058	810	805
RP11-399J13.3	1	0	0	0	1	1
SNX15	30	24	17	20	30	23
SAC3D1	574	603	587	672	506	451
NAALADL1	5	4	2	7	6	5
CDCA5	3798	3487	3774	3855	3071	3256
ZFPL1	280	302	320	312	224	256
TMEM262	19	18	9	18	14	13
VPS51	2317	2150	2277	2372	1946	1909
TM7SF2	405	709	334	369	688	301
ZNHIT2	308	331	290	290	231	244
FAU	5435	5416	5556	6008	4517	4400
SYVN1	1883	1998	1928	1666	1495	1478
MRPL49	2718	2568	2548	2699	2229	1993
SPDYC	1	4	3	0	4	4
AP003068.23	31	34	18	37	40	37
CAPN1	4367	5008	3851	4615	4588	3561
POLA2	1585	1365	1528	1443	1129	1150
CDC42EP2	286	229	331	383	322	346
DPF2	2295	2063	2256	2455	1913	1983
TIGD3	32	32	31	57	39	31
RP11-867O8.5	0	0	0	0	1	0
SLC25A45	104	134	111	152	168	150
FRMD8	1709	1479	1544	2025	1695	1612
NEAT1	11533	19738	12895	12999	18711	14242
AP000769.1	125	151	113	134	146	129
MALAT1	3196	6333	4183	3656	5474	4265
SCYL1	2375	2515	2251	2357	2216	1988
LTBP3	2550	2872	2864	2590	2832	2612
SSSCA1-AS1	51	43	25	37	27	21
SSSCA1	1028	858	980	984	730	746
FAM89B	91	103	76	58	55	47
EHBP1L1	3819	4439	3637	4071	4135	3309
AP001362.1	0	0	0	0	1	0
KCNK7	19	20	25	26	13	17
MAP3K11	3885	3456	3459	4051	3247	2885
PCNXL3	4718	4405	4437	3130	2979	2497
SIPA1	1367	1600	1104	1226	1334	866
RELA	3132	2928	2983	3529	3056	2906
KAT5	795	781	749	824	679	643
RNASEH2C	951	867	848	972	772	762
RP11-770G2.2	0	4	0	4	7	3
AP5B1	1464	1333	1460	1650	1334	1361
OVOL1	4	3	4	3	10	5
OVOL1-AS1	1	0	2	0	0	3
CFL1	23163	18476	21608	24980	18113	19042
SNX32	22	18	17	26	19	25
MUS81	1525	1633	1515	1348	1304	1181
EFEMP2	171	355	251	213	400	273
CTSW	11	7	9	9	7	9
FIBP	1762	1902	1866	2000	1830	1718
CCDC85B	1789	1680	1812	2402	2023	2019
FOSL1	3798	1984	4003	4165	2502	4078
C11orf68	1677	1200	1603	2031	1314	1546
DRAP1	8640	7064	8054	9578	6970	7287
SART1	4463	3994	4020	2797	2443	2232
EIF1AD	1157	1026	1058	1291	1071	981
BANF1	4834	4965	4498	5056	4462	4310
CST6	1	1	0	2	2	6
CATSPER1	15	12	18	14	15	27
GAL3ST3	0	5	6	5	5	1
SF3B2	6901	6780	6495	4809	4448	4302
RP11-1167A19.2	0	1	0	0	0	0
PACS1	1659	1461	1547	1797	1424	1473
RP11-755F10.1	55	70	67	59	51	57
KLC2	2640	2319	2496	2303	1811	1920
RP11-755F10.3	32	33	24	12	25	17
RP11-867G23.1	4	5	4	3	3	4
RP11-867G23.2	3	1	3	0	2	1
RAB1B	2965	2655	2797	3562	2388	2473
RP11-867G23.3	19	30	19	19	22	28
CNIH2	85	118	81	142	138	76
YIF1A	2404	1926	2187	2345	1833	2041
TMEM151A	270	365	250	287	365	253
RP11-867G23.13	1	3	1	1	0	2
CD248	5	3	5	4	3	1
RIN1	952	596	1081	1123	697	1170
RP11-867G23.12	4	2	6	5	8	2
BRMS1	1749	1569	1712	1837	1409	1535
B3GNT1	1369	1558	1204	1348	1282	1016
RP11-867G23.8	49	45	43	57	55	39
SLC29A2	582	818	695	609	705	568
NPAS4	6	3	5	4	3	5
MRPL11	1890	1859	1634	2053	1755	1734
PELI3	134	145	137	149	114	115
CTD-3074O7.5	26	32	25	25	25	23
DPP3	2743	2473	2496	3003	2470	2166
BBS1	30	34	24	15	24	16
ZDHHC24	465	514	445	490	498	410
CTD-3074O7.12	62	100	63	61	77	68
CTD-3074O7.2	1	3	0	2	4	2
CTSF	460	558	450	448	502	420
CCDC87	35	38	31	30	32	30
CCS	848	919	795	791	746	711
RBM14	2010	2081	2183	2476	2041	2042
RBM4	187	236	185	221	244	169
RBM14-RBM4	2	2	1	3	4	3
RBM4B	588	579	551	619	528	531
RP11-658F2.8	59	108	76	75	90	69
SPTBN2	201	240	287	176	183	202
C11orf80	165	183	190	174	181	177
RCE1	787	702	736	871	748	718
PC	653	583	666	651	533	592
LRFN4	1114	1015	1258	1238	1100	1142
C11orf86	27	12	49	29	25	48
SYT12	81	56	92	78	59	82
RHOD	365	325	432	522	366	429
KDM2A	6280	5494	6006	3845	3317	3505
AP001885.1	0	0	1	2	0	2
ADRBK1	3120	3057	3020	3044	2440	2436
ANKRD13D	819	830	795	968	858	822
SSH3	707	916	607	721	869	518
POLD4	770	1000	809	778	787	715
CLCF1	144	143	204	165	129	136
RAD9A	580	568	498	632	560	491
PPP1CA	5899	5688	5872	6961	5579	5228
TBC1D10C	17	18	11	11	14	15
CARNS1	21	44	19	19	36	24
RPS6KB2	1449	1409	1370	1443	1209	1141
PTPRCAP	53	84	86	63	59	65
CORO1B	3422	3660	3319	3646	3196	3005
GPR152	1	1	2	1	1	2
CABP4	4	2	1	3	2	5
CTC-1337H24.1	0	0	1	0	0	0
CTC-1337H24.2	0	0	0	0	1	1
TMEM134	389	483	400	421	425	399
AIP	1489	1593	1387	1649	1624	1317
PITPNM1	1810	2159	1730	1767	1739	1352
CDK2AP2	1401	1476	1162	1605	1465	1191
CABP2	1	2	1	1	3	3
GSTP1	5898	6288	5938	7093	6762	6112
C11orf72	1	4	3	1	2	4
RP11-655M14.12	0	0	0	0	0	1
NDUFV1	5059	5076	4921	5084	4566	4452
RP11-655M14.13	3	3	3	4	6	2
NUDT8	100	107	99	133	113	84
TBX10	3	2	2	4	3	4
ACY3	4	4	1	3	5	4
ALDH3B2	5	4	2	5	12	9
RP11-119D9.1	5	4	4	3	5	7
RP5-903G2.2	2	2	0	0	5	1
